subject,datestamp,timestamp,version,condition,opType,opChoice,choice,payoffSubj1,payoffSubj2,payoffOpp1,payoffOpp2,rt,score,globalRound,matchRound,id
A177PH8HH3T5P8_lit3,4/17/2015,20:41:16,lit4,1,4,1,0,-2,0,2,0,8490,98,1,1,1908
A177PH8HH3T5P8_lit3,4/17/2015,20:41:26,lit4,1,4,1,1,-2,-1,2,-5,3820,95,2,2,1912
A177PH8HH3T5P8_lit3,4/17/2015,20:41:36,lit4,1,4,1,1,-2,-1,2,-5,3947,92,3,3,1915
A177PH8HH3T5P8_lit3,4/17/2015,20:41:47,lit4,1,4,1,1,-2,-1,2,-5,4014,89,4,4,1917
A177PH8HH3T5P8_lit3,4/17/2015,20:41:58,lit4,1,4,1,0,-2,0,2,0,3962,87,5,5,1922
A177PH8HH3T5P8_lit3,4/17/2015,20:42:05,lit4,1,4,1,0,-2,0,2,0,1498,85,6,6,1924
A177PH8HH3T5P8_lit3,4/17/2015,20:42:18,lit4,1,2,1,1,-2,-1,2,-5,2849,82,7,1,1929
A177PH8HH3T5P8_lit3,4/17/2015,20:42:26,lit4,1,2,0,0,0,0,0,0,987,82,8,2,1931
A177PH8HH3T5P8_lit3,4/17/2015,20:42:32,lit4,1,2,0,0,0,0,0,0,1174,82,9,3,1933
A177PH8HH3T5P8_lit3,4/17/2015,20:42:38,lit4,1,2,0,0,0,0,0,0,782,82,10,4,1936
A177PH8HH3T5P8_lit3,4/17/2015,20:42:45,lit4,1,2,0,0,0,0,0,0,1334,82,11,5,1939
A177PH8HH3T5P8_lit3,4/17/2015,20:43:00,lit4,1,2,0,0,0,0,0,0,1738,82,12,6,1945
A177PH8HH3T5P8_lit3,4/17/2015,20:43:07,lit4,1,2,0,0,0,0,0,0,1402,82,13,7,1947
A177PH8HH3T5P8_lit3,4/17/2015,20:43:13,lit4,1,2,0,0,0,0,0,0,1148,82,14,8,1950
A177PH8HH3T5P8_lit3,4/17/2015,20:43:19,lit4,1,2,0,0,0,0,0,0,1250,82,15,9,1952
A177PH8HH3T5P8_lit3,4/17/2015,20:43:25,lit4,1,2,0,0,0,0,0,0,1176,82,16,10,1955
A177PH8HH3T5P8_lit3,4/17/2015,20:43:38,lit4,0,0,0,0,0,0,0,0,4317,82,17,1,1958
A177PH8HH3T5P8_lit3,4/17/2015,20:43:46,lit4,0,0,0,0,0,0,0,0,2188,82,18,2,1960
A177PH8HH3T5P8_lit3,4/17/2015,20:43:54,lit4,0,0,0,0,0,0,0,0,1138,82,19,3,1962
A177PH8HH3T5P8_lit3,4/17/2015,20:43:58,lit4,0,0,0,0,0,0,0,0,696,82,20,4,1964
A177PH8HH3T5P8_lit3,4/17/2015,20:44:04,lit4,0,0,0,0,0,0,0,0,1208,82,21,5,1967
A177PH8HH3T5P8_lit3,4/17/2015,20:44:11,lit4,0,0,0,0,0,0,0,0,1434,82,22,6,1969
A177PH8HH3T5P8_lit3,4/17/2015,20:44:17,lit4,0,0,0,0,0,0,0,0,1714,82,23,7,1970
A177PH8HH3T5P8_lit3,4/17/2015,20:44:29,lit4,0,7,0,0,0,0,0,0,1630,82,24,1,1973
A177PH8HH3T5P8_lit3,4/17/2015,20:44:35,lit4,0,7,0,0,0,0,0,0,686,82,25,2,1975
A177PH8HH3T5P8_lit3,4/17/2015,20:44:47,lit4,1,3,1,1,-2,-1,2,-5,1598,79,26,1,1978
A177PH8HH3T5P8_lit3,4/17/2015,20:44:53,lit4,1,3,0,0,0,0,0,0,582,79,27,2,1979
A177PH8HH3T5P8_lit3,4/17/2015,20:44:59,lit4,1,3,0,0,0,0,0,0,1567,79,28,3,1981
A177PH8HH3T5P8_lit3,4/17/2015,20:45:04,lit4,1,3,0,0,0,0,0,0,609,79,29,4,1983
A177PH8HH3T5P8_lit3,4/17/2015,20:45:10,lit4,1,3,0,0,0,0,0,0,828,79,30,5,1986
A177PH8HH3T5P8_lit3,4/17/2015,20:45:15,lit4,1,3,0,0,0,0,0,0,547,79,31,6,1989
A177PH8HH3T5P8_lit3,4/17/2015,20:45:22,lit4,1,3,0,0,0,0,0,0,1226,79,32,7,1991
A177PH8HH3T5P8_lit3,4/17/2015,20:45:30,lit4,0,1,0,0,0,0,0,0,1429,79,33,1,1993
A177PH8HH3T5P8_lit3,4/17/2015,20:45:35,lit4,0,1,0,0,0,0,0,0,440,79,34,2,1994
A177PH8HH3T5P8_lit3,4/17/2015,20:45:50,lit4,0,6,0,0,0,0,0,0,2276,79,35,1,1997
A177PH8HH3T5P8_lit3,4/17/2015,20:45:55,lit4,0,6,0,0,0,0,0,0,430,79,36,2,1998
A177PH8HH3T5P8_lit3,4/17/2015,20:46:01,lit4,0,6,0,0,0,0,0,0,444,79,37,3,1999
A177PH8HH3T5P8_lit3,4/17/2015,20:46:06,lit4,0,6,0,0,0,0,0,0,765,79,38,4,2001
A177PH8HH3T5P8_lit3,4/17/2015,20:46:12,lit4,0,6,0,0,0,0,0,0,1012,79,39,5,2003
A177PH8HH3T5P8_lit3,4/17/2015,20:46:17,lit4,0,6,0,0,0,0,0,0,531,79,40,6,2004
A177PH8HH3T5P8_lit3,4/17/2015,20:46:31,lit4,1,5,1,1,-2,-1,2,-5,1214,76,41,1,2006
A177PH8HH3T5P8_lit3,4/17/2015,20:46:41,lit4,1,5,1,1,-2,-1,2,-5,2636,73,42,2,2008
A177PH8HH3T5P8_lit3,4/17/2015,20:46:49,lit4,1,5,1,0,-2,0,2,0,2953,71,43,3,2009
