id,datestamp,timestamp,version,order,behavior,opponent,reply,payoff,rt,score,met,condition
ARFK5JVM6G8T2_m4,11/7/2013,20:33:45,lit1p1,1,1,6nopun,0,1,14046,501,1,0
ARFK5JVM6G8T2_m4,11/7/2013,20:33:59,lit1p1,2,1,6nopun,0,1,8231,502,2,0
ARFK5JVM6G8T2_m4,11/7/2013,20:34:09,lit1p1,3,1,6nopun,0,1,6706,503,3,0
ARFK5JVM6G8T2_m4,11/7/2013,20:34:17,lit1p1,4,1,6nopun,0,1,6053,504,4,0
ARFK5JVM6G8T2_m4,11/7/2013,20:34:25,lit1p1,5,1,6nopun,0,1,5643,505,5,0
ARFK5JVM6G8T2_m4,11/7/2013,20:34:31,lit1p1,6,1,6nopun,0,1,4931,506,6,0
ARFK5JVM6G8T2_m4,11/7/2013,20:34:39,lit1p1,7,2,6nopun,0,0,5082,506,7,0
ARFK5JVM6G8T2_m4,11/7/2013,20:34:45,lit1p1,8,1,6nopun,0,1,5164,507,8,0
ARFK5JVM6G8T2_m4,11/7/2013,20:34:54,lit1p1,9,1,5nopun,0,1,7298,508,1,0
ARFK5JVM6G8T2_m4,11/7/2013,20:35:01,lit1p1,10,1,5nopun,0,1,4995,509,2,0
ARFK5JVM6G8T2_m4,11/7/2013,20:35:07,lit1p1,11,1,5nopun,0,1,4759,510,3,0
ARFK5JVM6G8T2_m4,11/7/2013,20:35:15,lit1p1,12,1,5nopun,0,1,5519,511,4,0
ARFK5JVM6G8T2_m4,11/7/2013,20:35:22,lit1p1,13,1,5nopun,0,1,5136,512,5,0
ARFK5JVM6G8T2_m4,11/7/2013,20:35:29,lit1p1,14,1,5nopun,0,1,4895,513,6,0
ARFK5JVM6G8T2_m4,11/7/2013,20:35:37,lit1p1,15,1,4pun,-2,1,6428,512,1,0
ARFK5JVM6G8T2_m4,11/7/2013,20:35:48,lit1p1,16,2,4pun,0,0,5231,512,2,0
ARFK5JVM6G8T2_m4,11/7/2013,20:35:56,lit1p1,17,1,3pun,-2,1,6355,511,1,0
ARFK5JVM6G8T2_m4,11/7/2013,20:36:03,lit1p1,18,2,3pun,0,0,5107,511,2,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:36:04,lit1p1,1,1,1nopun,0,1,10392,501,1,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:36:04,lit1p1,4,1,1nopun,0,1,4451,502,4,0
A2I9Y7R8F4J7K2_m4,11/7/2013,20:36:06,lit1p1,1,1,2nopun,0,1,13456,501,1,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:36:06,lit1p1,5,1,1nopun,0,1,4497,503,5,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:36:07,lit1p1,6,1,1nopun,0,1,4496,504,6,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:36:10,lit1p1,2,2,1nopun,0,0,8968,501,2,0
ARFK5JVM6G8T2_m4,11/7/2013,20:36:11,lit1p1,19,2,3pun,0,0,6327,511,3,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:36:11,lit1p1,1,1,0nopun,0,1,14217,501,1,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:36:12,lit1p1,7,1,4pun,-2,1,4357,503,1,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:36:13,lit1p1,3,2,1nopun,0,0,4983,501,3,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:36:21,lit1p1,8,1,4pun,-2,1,5860,502,2,0
ARFK5JVM6G8T2_m4,11/7/2013,20:36:23,lit1p1,20,2,3pun,0,0,9996,511,4,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:36:27,lit1p1,9,1,5pun,-2,1,4469,501,1,0
ARFK5JVM6G8T2_m4,11/7/2013,20:36:30,lit1p1,21,1,3pun,-2,1,5598,510,5,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:36:32,lit1p1,10,2,5pun,0,0,4472,501,2,0
ARFK5JVM6G8T2_m4,11/7/2013,20:36:37,lit1p1,22,2,3pun,0,0,5061,510,6,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:36:37,lit1p1,2,1,0nopun,0,1,21291,502,2,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:36:38,lit1p1,11,2,5pun,0,0,4731,501,3,0
