0.0 0.0,0.0 1.0,0.0 2.0,0.0 3.0,ASLP,1.0 0.0,1.0 1.0,1.0 2.0,1.0 3.0,1.0 4.0,2.0 0.0,2.0 1.0,2.0 2.0,2.0 3.0,2.0 4.0,3.0 0.0,3.0 1.0,3.0 2.0,3.0 3.0,3.0 4.0,4.0 0.0,LSAPT,4.0 2.0,4.0 3.0,4.0 4.0,other
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0
0.038477564,0.038477564,0.038477564,0.038477564,0.038477564,0.038477564,0.038477564,0.038477564,0.038477564,0.038477564,0.038477564,0.038477564,0.038477564,0.038477564,0.038477564,0.038477564,0.038477564,0.038477564,0.038477564,0.038477564,0.038477576,0.038743099,0.038477578,0.038786071,0.075964394,0
0.035866261,0.035866261,0.035866261,0.035866261,0.035866261,0.035866261,0.035866261,0.035866261,0.035866261,0.035866261,0.035866261,0.035866261,0.035866261,0.035866261,0.035866261,0.035866261,0.035866261,0.035866261,0.035866261,0.035866261,0.035866396,0.037989709,0.035866296,0.03648651,0.136465877,0
0.033507292,0.033507292,0.033507292,0.033507292,0.033507292,0.033507292,0.033507292,0.033507292,0.033507292,0.033507292,0.033507292,0.033507292,0.033507292,0.033507292,0.033507292,0.033507292,0.033507292,0.033507292,0.033507292,0.033507292,0.033510196,0.058547755,0.033507344,0.034242328,0.170046535,0
0.03161027,0.03161027,0.03161027,0.03161027,0.03161027,0.03161027,0.03161027,0.03161027,0.03161027,0.03161027,0.03161027,0.03161027,0.03161027,0.03161027,0.03161027,0.03161027,0.03161027,0.03161027,0.03161027,0.03161027,0.03162005,0.108681309,0.031610321,0.032315131,0.163567798,0
0.02855102,0.02855102,0.02855102,0.02855102,0.02855102,0.02855102,0.02855102,0.02855102,0.02855102,0.02855102,0.02855102,0.02855102,0.02855102,0.02855102,0.02855102,0.02855102,0.02855102,0.02855102,0.02855102,0.02855102,0.028570257,0.194871776,0.028551068,0.029187812,0.147798679,0
0.023965213,0.023965213,0.023965213,0.023965213,0.023965213,0.023965213,0.023965213,0.023965213,0.023965213,0.023965213,0.023965213,0.023965213,0.023965213,0.023965213,0.023965213,0.023965213,0.023965213,0.023965213,0.023965213,0.023965213,0.024000101,0.324453207,0.023965253,0.02449823,0.123778945,0
0.018206558,0.018206558,0.018206558,0.018206558,0.018206558,0.018206558,0.018206558,0.018206558,0.018206558,0.018206558,0.018206558,0.018206558,0.018206558,0.018206558,0.018206558,0.018206558,0.018206558,0.018206558,0.018206558,0.018206558,0.018277664,0.487163922,0.018206587,0.018609229,0.093611446,0
0.012418464,0.012418464,0.012418464,0.012418464,0.012418464,0.012418464,0.012418464,0.012418464,0.012418464,0.012418464,0.012418464,0.012418464,0.012418464,0.012418464,0.012418464,0.012418464,0.012418464,0.012418464,0.012418464,0.012418464,0.012593826,0.650638554,0.012418484,0.012690123,0.063289727,0
0.007810326,0.007810326,0.007810326,0.007810326,0.007810326,0.007810326,0.007810326,0.007810326,0.007810326,0.007810326,0.007810326,0.007810326,0.007810326,0.007810326,0.007810326,0.007810326,0.007810326,0.007810326,0.007810326,0.007810326,0.008247857,0.780608242,0.007810338,0.00797768,0.039149363,0
0.004805571,0.004805571,0.004805571,0.004805571,0.004805571,0.004805571,0.004805571,0.004805571,0.004805571,0.004805571,0.004805571,0.004805571,0.004805571,0.004805571,0.004805571,0.004805571,0.004805571,0.004805571,0.004805571,0.004805571,0.005667384,0.865102162,0.004805578,0.004904913,0.023408543,0
0.003050516,0.003050516,0.003050516,0.003050516,0.003050516,0.003050516,0.003050516,0.003050516,0.003050516,0.003050516,0.003050516,0.003050516,0.003050516,0.003050516,0.003050516,0.003050547,0.00305062,0.003050516,0.003050516,0.003050516,0.0043459,0.914268543,0.003050521,0.003110133,0.014214447,0
0.002039027,0.002039027,0.002039027,0.002039027,0.002039027,0.002039027,0.002039027,0.002039027,0.002039027,0.002039027,0.002039027,0.002039027,0.002039027,0.002039027,0.002039027,0.002040356,0.0020419,0.002039027,0.002039027,0.002039027,0.003677665,0.942507191,0.00203903,0.002075749,0.008915623,0
0.001444392,0.001444392,0.001444392,0.001444392,0.001444392,0.001444392,0.001444392,0.001444392,0.001444392,0.001444392,0.001444392,0.001444392,0.001444392,0.001444392,0.001444392,0.001454732,0.001462038,0.001444392,0.001444392,0.001444392,0.003330371,0.959041211,0.001444394,0.001467654,0.005800546,0
0.001089247,0.001089247,0.001089247,0.001089247,0.001089247,0.001089247,0.001089247,0.001089247,0.001089247,0.001089247,0.001089247,0.001089247,0.001089247,0.001089247,0.001089247,0.001122471,0.001138976,0.001089247,0.001089247,0.001089247,0.003148356,0.968849953,0.001089248,0.001104471,0.003940073,0
0.000872121,0.000872121,0.000872121,0.000872121,0.000872121,0.000872121,0.000872121,0.000872121,0.000872121,0.000872121,0.000872121,0.000872121,0.000872121,0.000872121,0.000872121,0.000938919,0.000964939,0.000872121,0.000872121,0.000872121,0.00305331,0.974787477,0.000872122,0.00088243,0.002802626,0
0.000734294,0.000734294,0.000734294,0.000734294,0.000734294,0.000734294,0.000734294,0.000734294,0.000734294,0.000734294,0.000734294,0.000734294,0.000734294,0.000734294,0.000734294,0.000838711,0.000873235,0.000734294,0.000734294,0.000734294,0.003004457,0.978509916,0.000734295,0.000741484,0.002080603,0
0.000643202,0.000643202,0.000643202,0.000643202,0.000643202,0.000643202,0.000643202,0.000643202,0.000643202,0.000643202,0.000643202,0.000643202,0.000643202,0.000643202,0.000643202,0.000785048,0.000827094,0.000643202,0.000643202,0.000643202,0.002980951,0.980934343,0.000643202,0.000648329,0.001603402,0
0.000580887,0.000580887,0.000580887,0.000580887,0.000580887,0.000580887,0.000580887,0.000580887,0.000580887,0.000580887,0.000580887,0.000580887,0.000580887,0.000580887,0.000580887,0.000758167,0.000807072,0.000580887,0.000580887,0.000580887,0.002971993,0.982564341,0.000580888,0.000584605,0.00127696,0
0.00053711,0.00053711,0.00053711,0.00053711,0.00053711,0.00053711,0.00053711,0.00053711,0.00053711,0.00053711,0.00053711,0.00053711,0.00053711,0.00053711,0.00053711,0.00074724,0.000802603,0.00053711,0.00053711,0.00053711,0.002971717,0.983685882,0.00053711,0.000539837,0.001047627,0
0.000505741,0.000505741,0.000505741,0.000505741,0.000505741,0.000505741,0.000505741,0.000505741,0.000505741,0.000505741,0.000505741,0.000505741,0.000505741,0.000505741,0.000505741,0.000746036,0.000807621,0.000505741,0.000505741,0.000505741,0.002976748,0.984469459,0.000505741,0.000507757,0.000883296,0
0.000482935,0.000482935,0.000482935,0.000482935,0.000482935,0.000482935,0.000482935,0.000482935,0.000482935,0.000482935,0.000482935,0.000482935,0.000482935,0.000482935,0.000482935,0.000750782,0.000818441,0.000482935,0.000482935,0.000482935,0.002985038,0.985021719,0.000482935,0.000484435,0.000763822,0
0.000466177,0.000466177,0.000466177,0.000466177,0.000466177,0.000466177,0.000466177,0.000466177,0.000466177,0.000466177,0.000466177,0.000466177,0.000466177,0.000466177,0.000466177,0.000759086,0.000832714,0.000466177,0.000466177,0.000466177,0.002995294,0.985412202,0.000466178,0.000467298,0.000676036,0
0.000453769,0.000453769,0.000453769,0.000453769,0.000453769,0.000453769,0.000453769,0.000453769,0.000453769,0.000453769,0.000453769,0.000453769,0.000453769,0.000453769,0.000453769,0.000769382,0.000848883,0.000453769,0.000453769,0.000453769,0.003006668,0.985687806,0.000453769,0.000454609,0.000611034,0
0.00044453,0.00044453,0.00044453,0.00044453,0.00044453,0.00044453,0.00044453,0.00044453,0.00044453,0.00044453,0.00044453,0.00044453,0.00044453,0.00044453,0.00044453,0.000780626,0.000865893,0.00044453,0.00044453,0.00044453,0.003018597,0.985881011,0.00044453,0.000445161,0.000562635,0
0.000437623,0.000437623,0.000437623,0.000437623,0.000437623,0.000437623,0.000437623,0.000437623,0.000437623,0.000437623,0.000437623,0.000437623,0.000437623,0.000437623,0.000437623,0.000792112,0.000883023,0.000437623,0.000437623,0.000437623,0.003030703,0.986014771,0.000437623,0.000438098,0.000526451,0
0.000432445,0.000432445,0.000432445,0.000432445,0.000432445,0.000432445,0.000432445,0.000432445,0.000432445,0.000432445,0.000432445,0.000432445,0.000432445,0.000432445,0.000432445,0.000803373,0.000899782,0.000432445,0.000432445,0.000432445,0.003042729,0.986105545,0.000432445,0.000432802,0.000499322,0
0.000428554,0.000428554,0.000428554,0.000428554,0.000428554,0.000428554,0.000428554,0.000428554,0.000428554,0.000428554,0.000428554,0.000428554,0.000428554,0.000428554,0.000428554,0.000814105,0.000915841,0.000428554,0.000428554,0.000428554,0.003054507,0.986165261,0.000428554,0.000428823,0.000478939,0
0.000425627,0.000425627,0.000425627,0.000425627,0.000425627,0.000425627,0.000425627,0.000425627,0.000425627,0.000425627,0.000425627,0.000425627,0.000425627,0.000425627,0.000425627,0.000824121,0.000930992,0.000425627,0.000425627,0.000425627,0.003065928,0.986202621,0.000425627,0.000425829,0.000463604,0
0.000423422,0.000423422,0.000423422,0.000423422,0.000423422,0.000423422,0.000423422,0.000423422,0.000423422,0.000423422,0.000423422,0.000423422,0.000423422,0.000423422,0.000423422,0.000833318,0.000945112,0.000423422,0.000423422,0.000423422,0.003076927,0.986223998,0.000423422,0.000423575,0.000452055,0
0.00042176,0.00042176,0.00042176,0.00042176,0.00042176,0.00042176,0.00042176,0.00042176,0.00042176,0.00042176,0.00042176,0.00042176,0.00042176,0.00042176,0.00042176,0.000841651,0.00095814,0.00042176,0.00042176,0.00042176,0.003087467,0.986234067,0.00042176,0.000421876,0.000443351,0
0.000420508,0.000420508,0.000420508,0.000420508,0.000420508,0.000420508,0.000420508,0.000420508,0.000420508,0.000420508,0.000420508,0.000420508,0.000420508,0.000420508,0.000420508,0.000849119,0.000970062,0.000420508,0.000420508,0.000420508,0.003097534,0.986236252,0.000420508,0.000420595,0.000436789,0
0.000419563,0.000419563,0.000419563,0.000419563,0.000419563,0.000419563,0.000419563,0.000419563,0.000419563,0.000419563,0.000419563,0.000419563,0.000419563,0.000419563,0.000419563,0.000855746,0.000980895,0.000419563,0.000419563,0.000419563,0.003107129,0.986233057,0.000419563,0.000419629,0.000431841,0
0.000418851,0.000418851,0.000418851,0.000418851,0.000418851,0.000418851,0.000418851,0.000418851,0.000418851,0.000418851,0.000418851,0.000418851,0.000418851,0.000418851,0.000418851,0.000861579,0.000990681,0.000418851,0.000418851,0.000418851,0.003116262,0.986226303,0.000418851,0.0004189,0.000428109,0
0.000418314,0.000418314,0.000418314,0.000418314,0.000418314,0.000418314,0.000418314,0.000418314,0.000418314,0.000418314,0.000418314,0.000418314,0.000418314,0.000418314,0.000418314,0.000866671,0.000999473,0.000418314,0.000418314,0.000418314,0.003124949,0.986217305,0.000418314,0.000418351,0.000425294,0
0.000417908,0.000417908,0.000417908,0.000417908,0.000417908,0.000417908,0.000417908,0.000417908,0.000417908,0.000417908,0.000417908,0.000417908,0.000417908,0.000417908,0.000417908,0.000871084,0.001007335,0.000417908,0.000417908,0.000417908,0.003133211,0.986207005,0.000417908,0.000417936,0.000423171,0
