0.0 0.0,0.0 10.0,10.0 0.0,10.0 10.0,other
0.25,0.25,0.25,0.25,0.0
0.200000006426,0.399999993571,0.2,0.200000000002,0.0
0.142857148121,0.571428564847,0.142857143515,0.142857143517,0.0
0.0909090946393,0.727272721942,0.0909090917087,0.0909090917098,0.0
0.0526315812694,0.842105259585,0.0526315795727,0.0526315795733,0.0
0.0285714298874,0.91428571218,0.0285714289663,0.0285714289667,0.0
0.0149253738382,0.955223879448,0.014925373357,0.0149253733572,0.0
0.00763358815074,0.97709923604,0.00763358790465,0.00763358790474,0.0
0.00386100404653,0.988416988109,0.00386100392206,0.00386100392211,0.0
0.00194174766642,0.994174757126,0.00194174760382,0.00194174760385,0.0
0.000973709881483,0.997078870418,0.000973709850094,0.000973709850106,0.0
0.000487567064029,0.998537298839,0.000487567048311,0.000487567048317,0.0
0.000243961953731,0.999268114155,0.000243961945866,0.000243961945869,0.0
0.000122025631282,0.999633923114,0.000122025627348,0.000122025627349,0.0
6.1023985376e-05,0.999816928048,6.10239834088e-05,6.10239834095e-05,0.0
3.05147858887e-05,0.999908455644,3.0514784905e-05,3.05147849054e-05,0.0
1.52580913404e-05,0.999954225727,1.52580908486e-05,1.52580908487e-05,0.0
7.62922028122e-06,0.99997711234,7.62922003528e-06,7.62922003537e-06,0.0
3.81465379486e-06,0.999988556039,3.81465367189e-06,3.81465367193e-06,0.0
1.90733781118e-06,0.999994277987,1.90733774969e-06,1.90733774972e-06,0.0
9.53671634051e-07,0.999997138985,9.53671603308e-07,9.53671603319e-07,0.0
4.76836499144e-07,0.999998569491,4.76836483772e-07,4.76836483778e-07,0.0
2.38418420102e-07,0.999999284745,2.38418412416e-07,2.38418412419e-07,0.0
1.19209252683e-07,0.999999642372,1.1920924884e-07,1.19209248842e-07,0.0
5.96046369998e-08,0.999999821186,5.96046350784e-08,5.96046350791e-08,0.0
2.98023211645e-08,0.999999910593,2.98023202037e-08,2.98023202041e-08,0.0
1.49011612484e-08,0.999999955297,1.4901160768e-08,1.49011607682e-08,0.0
7.45058079072e-09,0.999999977648,7.45058055053e-09,7.45058055062e-09,0.0
3.72529043699e-09,0.999999988824,3.7252903169e-09,3.72529031694e-09,0.0
1.8626452289e-09,0.999999994412,1.86264516886e-09,1.86264516888e-09,0.0
9.31322617054e-10,0.999999997206,9.31322587031e-10,9.31322587042e-10,0.0
4.65661309178e-10,0.999999998603,4.65661294166e-10,4.65661294172e-10,0.0
2.32830654751e-10,0.999999999302,2.32830647246e-10,2.32830647248e-10,0.0
1.16415327416e-10,0.999999999651,1.16415323663e-10,1.16415323665e-10,0.0
